ID	Style	Category	Artist	Title	Image URL
58c6237dedc2c9c7dc0de1ae	Modern Art	Impressionism	Charles Courtney Curran	In the Luxembourg Garden	https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg
577280dfedc2cb3880f28e76	Modern Art	Neo-Expressionism	Keith Haring	The Marriage of Heaven and Hell	https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg
57727f2dedc2cb3880ed5fa9	Modern Art	Post-Impressionism	Jozsef Rippl-Ronai	Uncle Piacsek in front of the Black Sideboard	https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg
58d1240cedc2c94f900fc610	Modern Art	Cubism	Vadym Meller	"Monk. For the Play &#39;Mazeppa&#39;"	https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg
57727de7edc2cb3880e91f26	Post Renaissance Art	Romanticism	David Wilkie	"The Defence of Sarago&#231;a"	https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg
57728297edc2cb3880f81f5b	Modern Art	Expressionism	Lyonel Feininger	In a Village Near Paris (Street in Paris, Pink Sky)	https://uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg
5772797dedc2cb3880db5504	Post Renaissance Art	Realism	Nikolai Ge	Last Supper	https://uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg
57726e48edc2cb3880b69b14	Post Renaissance Art	Realism	Charles-Francois Daubigny	Spring	https://uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg
57728255edc2cb3880f7644a	Contemporary Art	Minimalism	Robert Smithson	Mirror and Crushed Shells	https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg
5772843bedc2cb3880fd334d	Contemporary Art	Minimalism	Richard Serra	One Ton Prop (House of Cards)	https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg
577285b4edc2cb388001c741	Modern Art	Pop Art	Patrick Procktor	"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints"	https://uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg
5772898cedc2cb38800df3fd	Post Renaissance Art	Rococo	George Romney	Admiral John Forbes (1714–1796)	https://uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg
5772849eedc2cb3880fe72ab	Modern Art	Color Field Painting	Ron Gorchov	Untitled	https://uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg
577282b3edc2cb3880f89e19	Modern Art	Color Field Painting	Louis Cane	"Toile d&#233;coup&#233;e"	https://uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg
577284a7edc2cb3880fe813a	Modern Art	Cubism	Francis Picabia	Dances at the Spring	https://uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg
57727ca4edc2cb3880e54008	Renaissance Art	Early Renaissance	Domenico Veneziano	Madonna and Child	https://uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg
57726ff3edc2cb3880bc56a7	Post Renaissance Art	Neoclassicism	Jacques-Louis David	The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804	https://uploads6.wikiart.org/images/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807.jpg
577288deedc2cb38800bdf0f	Modern Art	Art Informel	Karl Otto Gotz	Untitled	https://uploads7.wikiart.org/images/karl-otto-gotz/untitled-1958.jpg
57726e25edc2cb3880b60a8b	Modern Art	Expressionism	Edvard Munch	The Sick Child (later)	https://uploads2.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg
577288ddedc2cb38800bde1d	Contemporary Art	Minimalism	Herbert Zangs	Peinture-Relief	https://uploads4.wikiart.org/images/herbert-zangs/peinture-relief-1955.jpg
577287d9edc2cb38800895a7	Modern Art	Neo-Expressionism	Joan Brown	"Self Portrait with Cloud &amp; Cigarette"	https://uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg
57727dd9edc2cb3880e90d51	Post Renaissance Art	Baroque	Adriaen van de Venne	Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair	https://uploads3.wikiart.org/images/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg
57726f83edc2cb3880bb117d	Post Renaissance Art	Realism	Honore Daumier	Don Quixote and Sancho Pansa Having a Rest under a Tree	https://uploads4.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg
577286cdedc2cb3880056d93	Modern Art	Abstract Art	Victor Servranckx	Red Rotation	https://uploads5.wikiart.org/images/victor-servranckx/red-rotation-1922.jpg
57728742edc2cb388006c6c8	Modern Art	Art Informel	Antonio Areal	"Opus II n&#186; 40"	https://uploads1.wikiart.org/images/antonio-areal/opus-ii-n-40-1961.jpg
577284fbedc2cb3880ffab14	Modern Art	Neo-Expressionism	Corneille	Planets	https://uploads1.wikiart.org/images/corneille/planets-1974.jpg
577287afedc2cb388007fc5b	Contemporary Art	Minimalism	Antonio Calderara	Spazio Luce	https://uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg
57728459edc2cb3880fdb65d	Modern Art	Lyrical Abstraction	Afro	Figure	https://uploads8.wikiart.org/images/afro/figure.jpg
5772819cedc2cb3880f501c7	Modern Art	Surrealism	Eileen Agar	The Reaper	https://uploads6.wikiart.org/images/eileen-agar/the-reaper-1938.jpg
577286a6edc2cb388004df04	Contemporary Art	Minimalism	Lynda Benglis	Corner Piece	https://uploads1.wikiart.org/images/lynda-benglis/corner-piece-1969.jpg
57727fe2edc2cb3880ef5ab8	Modern Art	Color Field Painting	Alma Woodsey Thomas	Atmospheric Effects I	https://uploads7.wikiart.org/images/alma-woodsey-thomas/atmospheric-effects-i-1970.jpg
57727014edc2cb3880bce964	Post Renaissance Art	Baroque	Francisco de Zurbaran	St. Apollonia	https://uploads6.wikiart.org/images/francisco-zurbaran/st-apollonia-1636.jpg
